CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060038700|||X||||
060039100|||||||
060039200|X|X|||||
060039300|X|X|||||
060039400||X|||||
060039500||X|||||
060039600||X|||||
060039700||X|||||
060039800||X|||||
060039900|||X||||
060040100|||X||||
060040200|||X||||
060040300|||X||||
060040400|||X||||
060040500|||X||||
060040600|||X||||
060040800|||X||||
060040900|||X||||
060041000|||X||||
060041100|||X||||
060041200|||X||||
060041300|||X||||
060041400|||X||||
060041700|||X||||
060041800|||X||||
060042200||X|||||
060042300|||X||||
060042400|||X||||
060042500|||||||
060042600|X|X|||||
060042700|||X||||
060042800|||X||||
060043000|||X||||
060043100||||X|||
060043200|||X||||
060043300|||X||||
060043400||X|X||||
060043500||X|||||
060043600|||X||||
060043700||X|||||
060043900|||X||||
060044200|||X||||
060044300||X|||||
060044400|||X||||
060044500||||X|||
060044600||X|||||
060044700||X|||||
060044800||X|||||
060044900|||X||||
060045100|||X||||
060045200||||X|||
060045300|||X||||
060045400|||X||||
060045500|||X||||
060045600|X|X|||||
060045700||X|X||||
060045800||X|||||
060045900|||X||||
060046000|X|X|||||
060046100|X|X|||||
060046200|||X||||
060046300|X|X|||||
060046400|||||||
060046401|||||||
060046500||X|||||
060046600|||X||||
060046700||||X|||
060046800|||||||
060047000|X|X|||||
060047100||||||X|X
060047300||X|X||||
060047400||||X|||
060047500||X|X||||
060047700||X|||||
060048000|X|X|||||
060048200|X|X|||||
060048300||||||X|X
060048500|||X||||
060048600|||X||||
060048800|||X||||
060048900|||X||||
060049000||||X|||
060049100|||X||||
060049200||X|||||
060049400|||X||||
060049500|||X||||
060049700||||X|||
060049800|||||||
060049900|||X||||
060050000||||X|X||
060050100|||X||||
060050200|X|X|||||
060050300|||X||||
060050400|||||||
060050500|||X||||
060050600|||X||||
060050700||||X|||
060050800||X|X||||
060051000|||X||||
060051100||X|||||
060051200|||||||
060051300||X|||||
060051400||||||X|
060051500|X|X|||||
060051800||X|||||
060052100|||X||||
060052200|||X||||
060052300|||X||||
060052400|X|X|||||
060052500|||X||||
060052600||X|||||
060052700|||||||
060052800|||||||
060053000|||X||||
060053100|X|X|||||
060053200||X|||||
060053300|||X||||
060053400|X|X|||||
060053500|X|X|||||
060053600|X|X|||||
060053700||||X|||
060053800|X|X|||||
060053900||X|||||
060054000|||X||||
060054100|X|X|||||
060054200|X|X|||||
060054300|||||||
060054400||||X|||
060054500||||X|||
060054600||||||X|
060054700|||X||||
060054800||X|||||
060055000||X|||||
060055100|||X||||
060055300|||X||||
060055500|||X||||
060055600||X|||||
060055900|||X||||
060056000|||X||||
060056100|||X||||
060056200||||||X|
060056600||||||X|X
060056800|||X||||
060056900|||X||||
060057000|||X||||
060057200|||X||||
060057300|||X||||
060057400||||X|X||
060057500|||||||
060057600||||X|||
060057700|||X||||
060057800|||X||||
060057900|||X||||
060058000|X|X|||||
060058100|||X||||
060058200||||X|||
060058300||X|||||
060058400|||X||||
060058500|||X||||
060058600|||X||||
060058700|||||||
060058701|||||||
060058900||X|||||
060059100|||X||||
