CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
062328000|||||||
062328200|X||||||
062328300|X|X|||||
062328400||X|||||
062328500||||||X|
062328600|||||||
062328700||X|||||
062328800||||X|||
062328900|||||||
062329000||||X|||
062329001||||X|||
062329100|||||||
062329200||||X|||
062329300||||X|||
062329400||||||X|X
062329500||||X|||
062329600||X|||||
062329700||||X|||
062329800|||||||
062329900|||||||
062330100|X|X|||||
062330200||X|||||
062330300|||X||||
062330400||||X|||
062330500||||X|||
062330600|X|X|||||
062330700||X|||||
062330800||X|||||
062330900|||X||||
062331000||||X|||
062331100||X|||||
062331200||||X|X||
062331300|||X||||
062331400|X|X|||||
062331500|X|X|||||
062331600|X|X|||||
062331700|||X||||
062331800||X|||||
062331900||X|||||
062332000|||X||||
062332100|||X||||
062332200|||X||||
062332300||||X|||
062332400|||||||
062332500|||||||
062332600|||||||
062332700|||||||
062332800||X|||||
062332900||X|||||
062333000||X|||||
062333100|||||||
062333200|X|X|||||
062333300||X|||||
062333400||X|||||
062333500||X|||||
062333600|X|X|||||
062333800||X|||||
062333900||||X|||
062334000|||X||||
062334100|X|X|||||
062334200||X|||||
062334300|||X||||
062334400||||X|||
062334500|X||||||
062334600||||X|||
062334601||||X|||
062334700|X|X|||||
062334900||X|||||
062335000|X|X|||||
062335100||X|||||
062335200|X||||||
062335300|||X||||
062335500||||X|||
062335600||||||X|
062335700|||||||
062335900|||||||
062336000|X|X|||||
062336100|||||||
062336200||||X|||
062336300|||||||
062336400||||X|||
062336500||X|||||
062336600|X||||||
062336700|X||||||
062336800|X||||||
062336900|||X||||
062337000||||X|||
062337100||||X|||
062337200|||||||
062337300|X|X|||||
062337400||||X|||
062337500|X|X|||||
062337600||||||X|
062337800||X|||||
062337900||||X|||
062338000||||X|||
062338100||X|||||
062338200|||X||||
062338300|||||||
062338400|||||||
062338500||X|||||
062338600||||X|||
062338700||X|||||
062338800|||||||
062338900|||X||||
062339000|||X||||
062339100|||X||||
062339200|X||||||
062339300|||||||
062339400|X|X|||||
062339500||X|||||
062339600||||||X|X
062339700|X|X|||||
062339800||X|||||
062339900|||X||||
062340000|X|X|||||
062340100||X|||||
062340200||||||X|
062340300||X|||||
062340400||X|||||
062340500|||X||||
062340600|||X||||
062340700|||X||||
062340800||X|||||
062340900||||X|||
062341100||X|||||
062341200|||X||||
062341300|X|X|||||
062341400|X||||||
062341500||||||X|X
062341600||||X|||
062341700||||X|||
062341800|X|X|||||
062341900|||X||||
062342000||||X|||
062342100|X|X|||||
062342200||X|||||
062342300|||||||
062342400|X|X|||||
062342500||||||X|
062342600|||X||||
062342700|||X||||
062342800||X|||||
062342900|X|X|||||
062343000|X||||||
062343100||||X|||
062343200||||||X|
062343300||X|||||
062343400|X|X|||||
062343500|||X||||
062343600||||||X|
062343700||||X|||
062343800||X|||||
062343900|X|X|||||
062344000||X|||||
062344100|X|X|||||
062344200||X|||||
062344300|X|X|||||
062344400|X||||||
062344500|X||||||
062344600|X||||||
062344700|X|X|||||
062344800||X|||||
062344900|X|X|||||
062345000||||X|||
062345100|||||||
062345200||||||X|
062345300|||X||||
062345400|||X||||
062345600|||X||||
062345700|X||||||
062345800||X|||||
062345900|X||||||
062346000|||X||||
062346100|||X||||
062346200||X|X||||
062346300|||X||||
062346400||||X|||
062346500|X|X|||||
062346600|||X||||
062346700||||X|||
062346800||||X|||
062347000||||X|||
062347100||X|||||
062347200||X|||||
062347300|X|X|||||
062347400|||||||
062347500|||||||
062347600|X|X|||||
062347700||||X|||
062347800||X|||||
062347900||||X|||
062348000||X|||||
062348100|X|X|||||
062348200|||||||
062348300|X|X|||||
062348400|||X||||
062348500||X|||||
062348600||X|||||
062348700|||||||
062348800||X|||||
062348900|||||||
062349000|||||||
062349100||X|||||
062349200|X|X|||||
062349300||||||X|
062349400|X||||||
062349500|||X||||
062349600|X||||||
062349700||X|||||
062349800|||||||
062349900||X|||||
062350000||X|||||
062350100||X|||||
062350200||||X|||
062350300||X|||||
062350400|||X||||
062350500|X|X|||||
062350600||X|||||
062350700||X|||||
062350800|X|X|||||
062350900||X|||||
062351000||X|||||
062351100||X|||||
062351200||||X|||
062351300|X||||||
062351400||||||X|
062351500||X|||||
062351600||X|||||
062351700||X|||||
062351800||X|||||
062351900|X||||||
062352000||X|||||
062352100||||X|X||
062352200|||||||
062352300||||X|||
062352400||X|||||
062352500|||||||
062352600|||||||
062352700||X|||||
062352800||||X|||
062352900||||X|||
062353000|||||||
062353100|X|X|||||
062353200||X|||||
062353300|||||||
062353400||X|||||
062353500||||X|||
062353600||||X|||
062353700||X|||||
062353800||||X|||
062353900|||X||||
062354000||||X|||
062354100||X|||||
062354200||X|||||
062354300|||||||
062354400||X|||||
062354500||||X|||
062354600||||X|||
062354700||X|||||
062354800||||X|||
062354900||||X|||
062355000||||X|||
062355100|||X||||
062355200||X|||||
062355300|X|X|||||
062355400||||X|||
062355500|||||||
062355600||X|||||
062355700||X|X||||
062355800||||X|||
062355900||||||X|
062356000|||||||
062356100||||X|||
062356200||||X|||
062356300|||X||||
062356400||X|||||
062356500||X|||||
062356600|||X||||
062356700|||X||||
062356800|X|X|||||
062356900||X|||||
062357000|X|X|||||
062357100|||X||||
062357200|||X||||
062357300||||X|||
062357400|X|X|||||
062357500|X|X|||||
062357700||X|||||
062357800|X||||||
062357900|X||||||
062358200|||X||||
062358300|||||||
062358400|||||||
062358500|||||||
062358600|||||||
062358700|||||||
062358800|||||||
062358900|||||||
062359000|||||||
062359100|||||||
062359200|||||||
062359300|||||||
062359400|||||||
062359500|||||||
062359600|||||||
062359700|||||||
062359800|||||||
062359900|||||||
062360000|||||||
062360100|||||||
062360200|||||||
062360300|||||||
062360400|||||||
062360500|||||||
062360600|||||||
062360700|||||||
062360800|X||||||
062360900|||||||
062361000|||||||
062361100|||||||
062361200|||||||
062361300|||||||
062361400|||||||
062361500|||||||
062361600|||||||
062361700|||||||
062361800|||||||
062361900|||||||
062362000|||||||
062362100|||||||
062362200|||||||
062362300||X|||||
062362500||X|||||
062362600||X|||||
062362700|||||||
062362800|||||||
062362900|||||||
062363000|||||||
062363100|||||||
062363200|||||||
062363300|||||||
062363400|||||||
062363500|||||||
062363600|||||||
062363700|||||||
062363800|||||||
062363900|||||||
062364000|||||||
062364100|||||||
062364200|||||||
062364300|||||||
062364400|||||||
062364500|||||||
062364600|||||||
062364700|||||||
062364800|||||||
062364900|||||||
062365000|||||||
062365100|||||||
062365200|||||||
062365300|||||||
062365400|||||||
062365500|||||||
062365600|||||||
062365700|||||||
062365800|||||||
062365900|||||||
062366000|||||||
062366100|||||||
062366200|||||||
062366300|||||||
062366400|||||||
062366500|||||||
062366600|||||||
062366700|||||||
062366800||||X|||
062366900||X|||||
062367000||X|||||
062367100||X|||||
062367200|||||||
062367300|||||||
062367400|||||||
062367500|||||||
062367600|||||||
062367700|||||||
062367800|||||||
062367900||||X|||
062368000|||||||
062368100|||||||
062368200|||||||
062368300|||||||
062368400|||||||
062368500|||||||
062368600|||||||
062368700|||||||
062368800|||||||
062368900|||||||
062369000|||||||
062369100|||||||
062369200|||||||
062369300|||||||
062369400|||||||
062369500|||||||
062369600|||||||
062369700|||||||
062369800|||||||
062369900|||||||
062370000||||X|||
062370100||X|||||
062370200|||||||
062370300|X|X|||||
062370400|||||||
062370500|||||||
062370600|||||||
062370700|||||||
062370800|||||||
062370900|||||||
062371000|||||||
062371100|||||||
062371200|||||||
062371300|||||||
062371400|||||||
062371500|||||||
062371600|||X||||
062371700|||||||
062371800|||||||
062371900|||||||
062372000|||||||
062372100|||||||
062372200|||||||
062372300|||||||
062372400|||||||
062372500|||||||
062372600|||||||
062372700|||||||
062372800|||||||
062372900|||||||
062373000|||||||
062373100|||||||
062373200|||||||
062373300|||||||
062373400|||||||
062373500|||||||
062373600|||||||
062373700|||||||
062373800|||||||
062373900|||||||
062374000|||||||
062374100|X|X|||||
062374200|X|X|||||
062374300|||||||
062374400|||||||
062374500|||||||
062374600|||||||
062374700|||||||
062374800|||||||
062374900|||||||
062375000|||||||
062375100|||||||
062375200|||||||
062375300|||||||
062375400|||||||
062375500|||||||
062375600|||||||
062375700|||||||
062375800|||||||
062375900|||||||
062376000|||||||
062376100|||||||
062376200|||||||
062376300|||||||
062376400|||||||
062376500|||||||
062376600|||||||
062376700|||||||
062376800|||||||
062376900|||||||
062377000|||||||
062377100|||||||
062377200|||||||
062377300|||||||
062377400|||||||
062377500|||||||
062377600|||||||
062377700|||||||
062377800|||||||
062377900|||||||
062378000|||||||
062378100|||||||
062378200|||||||
062378300|||||||
062378400|||||||
062378500|||||||
062378600|||||||
062378700|||||||
062378800|||||||
062378900|||||||
062379000|||||||
062379100|||||||
062379200|||||||
062379300|||||||
062379400|||X|X|||
062379500|||||||
062379600|||||||
062379700|||||||
062379800|||||||
062379900|||||||
062380000|||||||
062380100|||||||
062380200|||||||
062380300|||||||
062380400|||||||
062380500|||||||
062380600|||||||
062380700|||||||
062380800|||||||
062380900|||||||
062381000|||||||
062381100|||||||
062381200||X|||||
062381300|||||||
062381400|||||||
062381500|||||||
062381600|||||||
062381700|X|X|||||
062381800|||||||
062381900|||||||
062382000|||||||
062382100|||||||
062382200|||||||
062382300|||||||
062382400|||||||
062382500|||||||
062382600|||||||
062382700|||||||
062382800|||||||
062382900|||||||
062383000|||||||
062383100|||||||
062383200|||||||
062383300|||||||
062383400|||||||
062383500|||||||
062383600|||||||
062383700|||||||
062383800|||||||
062383900|||||||
062384000|||||||
062384100|||||||
062384200|||||||
062384300||X|||||
062384400|||||||
062384500||X|||||
062384600|X|X|||||
062384700|||X||||
062384800||X|||||
062384900|X||||||
062385000||||X|||
062385100||||X|||
062385200|||||||
062385300|||X||||
062385400||||||X|
062385500||||||X|
062385600||||||X|
062385700|||X||||
062385800|||||||
062385900|||||||
062386000|||||||
062386100|||||||
062386200|||||||
062386300||||||X|
062386400||||||X|
062386500|||||||
062386600||||||X|
062386700||||||X|
062386800||X|||||
062386900||X|||||
062387000|X|X|||||
062387100||||X|||
062387200|X|X|||||
062387300|||||||
062387400||||||X|
062387500||X|||||
062387600|||||||
062387700||X|||||
062387900|||X||||
062388000||X|||||
062388100||X|||||
062388200||X|||||
062388300||X|||||
062388400|X||||||
062388500||X|||||
062388600||X|||||
062388700|||||||
062388800|||||||
062388900|X||||||
062389000||X|||||
062389100|X|X|||||
062389200||X|||||
062389300||X|||||
062389400|X||||||
062389500|X|X|||||
062389600|||X||||
062389700||X|||||
062389800||X|||||
062389900||X|||||
062390000||X|||||
062390100||X|||||
062390200||||||X|
062390300||X|||||
062390400|||X||||
062390500||||X|||
062390600||||X|||
062390700||||X|||
062390701||||X|||
062390800|||||||
062390900|||||||
062391000|||||||
062391100|||X||||
062391200||||X|||
062391300|||||||
062391400|||||||
062391500|||||||
062391600|||X||||
062391700|||||||
062391800|||||||
062391900||X|||||
062392000|||X||||
062392100|||||||
062392200|||||||
062392300|||X||||
062392400||X|||||
062392500|||||||
062392600|||||||
062392700||X|||||
062392800||X|||||
062392900|||X||||
062393000|X||||||
062393100|||X||||
062393200|X|X|||||
062393300||||X|||
062393400|X|X|||||
062393500|X|X|||||
062393600|X|X|||||
062393700|||||||
062393800|||X||||
062393900||||X|||
062394000|||||||
062394100|||||||
062394200|||||||
062394201|||||||
062394300||||X|||
062394400||||X|||
062394500||||X|||
062394600|X|X|||||
062394700|||||||
062394800|X|X|||||
062394900|||X||||
062395000|||||||
062395200||X|||||
062395300|||X||||
062395400||||X|||
062395500|X||||||
062395600|X|X|||||
062395700|||||||
062395800|||||||
062395900|||||||
062396000||||X|||
062396100|||||||
062396200|X||||||
062396300||X|||||
062396400|||X||||
062396500|X|X|||||
062396600||||X|||
062396700||X|||||
062396800|||||||
062396900|||X||||
062397000|||X||||
062397100|||X||||
062397200||||X|||
062397300||||X|||
062397400|||||||
062397500|||||||
062397600|||||||
062397700|||||||
062397800|||||||
062397900|X|X|||||
062398000|||X||||
062398100|X||||||
062398200|||||||
062398300|||||||
062398400|||||||
062398500|||||||
062398600||X|||||
062398700|||X||||
062398800|X|X|||||
062398900|X|X|||||
062399000|||||||
062399100|X|X|||||
062399200|||||||
062399300|||||||
062399400|||||||
062399500||||X|||
062399600|||||||
062399700||||X|||
062399800|X||||||
062399900||X|||||
062400000||||X|||
062400100||||X|||
062400200||||X|||
062400300||||X|||
062400400||||X|||
062400500||||X|||
062400600||X|||||
062400700|||||||
062400800||X|||||
062400900|X||||||
062401000|||||||
062401100|||||||
062401200|||||||
062401300|X||||||
062401400|||||||
062401500|X|X|||||
069000100||||X|X||
069000500||||||X|
069000600||||X|||
069000601|||X||||
069000602||X|||||
069001000||||X|X||
069001200||||||X|
069001300||||X|||
069001500||||X|X||
069001800|||X||||
069001801||X|||||
069001900||||X|||
069002000||||X|||
069002100||||X|||
069002500||||X|||
069003100||||||X|X
069003200||||X|||
069003300||X|||||
069003500||||X|||
100000100|||X||||
100000200|||X||||
100000300|||X||||
100000400|||X||||
100000500|||X||||
100000600|||X||||
100000700|||X||||
100000800|||X||||
100000900|||X||||
100001000||||X|||
100001200|||X||||
100001300|||X||||
100001500|||X||||
100001600|||X||||
100001700|||X||||
100001800|||X||||
100001900|||X||||
100002000|||X||||
100002400||X|X|X|||
100002500|||X||||
100002600||||||X|
100002700|||X||||
100002800||||X|||
100002900||X|X||||
100003000|||X||||
100003100|||X||||
100003200|||X||||
100003400|||||||
100003900|||X||||
100004000|||X||||
100004100|||X||||
100004400|||X||||
100004401|||X|X|||
100004500|||X||||
100004600|||X||||
100004700|||X||||
100004800||||X|||
100004801||||X|||
100004802||||X|||
100004803||||X|||
100004900||||||X|
100005000||||||X|
100005100||||X|||
100005200||X|X||||
100005300|||||||
100005400|||||||
100005600|||||||
100005700||||X|||
100005701||||X|||
100005702||||X|||
100005703||||X|||
100005800|||X||||
100005900|||X||||
100006000|||X||||
100006100|||X||||
100006200|||X||||
100006300|||X||||
100006500|||X|X|||
100006700|||X||||
100006800|||X||||
100006900|||X||||
100007200||||X|||
100007300||||X|X||
100007400||||X|X||
100007500|||X||||
100007600||||X|||
100007700|||X||||
100007800||X|X|X|||
100007900||||X|||
100007902||||X|||
100008000|||X||||
100008100|||X||||
100008200|||||||
100008300||||X|||
100008400|||X||||
100008500||||X|||
100008600||||X|X||
100008700||||||X|X
100008800||X|X|X|||
100008900|||X||||
100009000|||X||||
100009100|||X||||
100009200||||X|||
100009201||||X|||
100009202||||X|||
100009203||||X|||
100009204||||X|||
100009300|||X||||
100009400||||X|||
100009500||||X|X||
100009700|||X||||
100009800|||X||||
100009900||||X|||
100010200|||X||||
100010300|||X||||
100010400|||X||||
100010600|||X||||
100010700|||X||||
100010800|||X||||
100010801|||X||||
100010900|||X||||
100011100|||X||||
100011200|||X||||
100011300|||X||||
100011500|||X||||
100011700|||X||||
100011800||||||X|
100011801||||||X|
100011802||||||X|
100011900|||||||
100012100|||X||||
100012200|||||||
100012400|||X||||
100012500|||X||||
100012600|||X||||
100012700|||X||||
100012800|||X||||
100012900|||X||||
100013000||||X|||
100013001||||X|||
100013002||||X|||
100013100|||X||||
100013200|||X||||
100013400|||X||||
100013500|||X||||
100013600|||X||||
100013700|||X||||
100013800||||X|||
100014000|||X||||
100014100|||X||||
100014200|||||||
100014300|||X||||
100014400|||X||||
100014500||X|||||
100014600||||X|||
100014601||||X|||
100014602||||X|||
100014700|||X||||
100015400|||X||||
100015500|||X||||
100015600|||X||||
100015700|||X||||
100015800|||X||||
100015900|||X|X|||
100016000|||X||||
100016100|||X||||
100016200|||X||||
100016300|||X|X|||
100016500|||X||||
100016600|||X||||
100016700|||X||||
100016800|||X|X|||
100016900|||X||||
100017000|||X||||
100017200|||X||||
100017300|||X|X|||
100017400|||X||||
100017500|||X||||
100017600||||X|||
100017601||||X|||
100017700|||X||||
100017800|||X||||
100017900|||X||||
100018200|||X||||
100018300||||X|||
100018400|||X||||
100018500|||X|X|||
100018600|||X||||
100018700|||X||||
100018800|||X||||
100018900|||X||||
100019100|||X||||
100019201|||X||||
100019300|||X||||
100019600|||X||||
100019700|||X||||
100020000||X|X||||
100020200|||X||||
100020400|||X||||
100020600|||X||||
100020700|||X||||
100020800|||X||||
100020900||X|X||||
100021400|||X||||
100021500|||X||||
100021600|||||||
100021700|||X||||
100021800|||X||||
100022000|||X||||
100022100|||X||||
100022200|||X||||
100022300|||X||||
100022400||||||X|
100022500|||X||||
100022600||X|X|X|||
100022800|||X||||
100022900|||X||||
100023000|||X||||
100023100|||X||||
100023300|||X||||
100023500|||X||||
100023800|||X||||
100023900|||X||||
100024000|||X||||
100024100|||X||||
100024300|||X||||
100024400|||X||||
100024500||||||X|
100024600|||X||||
100024700|||X||||
100024800||||X|||
100024801||||X|||
100024900|||X||||
100025000||||X|||
100025100||||X|X||
100025200||||X|||
100025300|||X||||
100025400|||X||||
100025500|||X||||
100025600||||X|||
100025602||||X|||
100025605||||X|||
100025700||||X|||
100025900|||X||||
100026000|||X|X|||
100026100||||X|||
100026200|||X||||
100026300|||X||||
100026400|||X||||
100026500|||X||||
100026600|||||||
100026700||||X|X||
100026800|||X||||
100026900|||X||||
100027000|||X||||
100027100||||X|X||
100027200||||X|||
100027300|||||||
100027400|||X||||
100027500||||X|X||
100027600|||X||||
100027700|||X||||
100027900|||X||||
100028200|||X||||
100028300|||X||||
100028500||||X|||
100028600||||X|||
100028800|||X||||
100028900|||X|X|||
100029000|||X||||
100029100|||X||||
100029200|||X||||
100029300|||X||||
100029400|||X||||
100029500|||||||
100029600|||||||
100029700|||||||
100030000|||X||||
100030100|||X||||
100030200|||X||||
100030300|||X||||
100030400|||X||||
100030500|||X||||
100030600|||X||||
100030700|||X||||
100030800|||||||
100031100|||X||||
100031200|||X||||
100031400|||X||||
100031500|||X||||
100031600|||X||||
100031700|||X||||
100031800|||X||||
100031900|||X||||
100032000||||X|||
100032001||||X|||
100032200|||X||||
100032300|||X||||
100032400|||X||||
100032500|||X||||
100032700|||X||||
100032800|||X||||
100033100|||X||||
100033200|||X||||
100033300|||X||||
100033400|||X||||
100033500|||X||||
100033600||||X|||
100033700||||||X|
100033800|||X||||
100033900|||X||||
100034000|||X||||
100034100|||X|X|||
100034300|||||||
100034400|||X||||
100034500||X|X||||
100034600||||X|||
100034700||||X|||
100034800|||||||
100035100|||X||||
100035300|||X||||
100035400|||X||||
100035500|||X||||
100035600|||X||||
100035700|||X||||
100035800|||X||||
100035900|||X||||
100036000|||X||||
100036100|||X||||
100036200|||X||||
100036300|||X||||
100036400|||X||||
100036500|||X||||
100036600|||X||||
100037100||X|X|X|||
100037200|||||||
100037300|||X||||
100037400|||X||||
100037500|||X||||
100037600|||X||||
100037700|||X||||
100037900|||X||||
100038100|||X||||
100038200|||X||||
100038300|||X||||
100038400|||X||||
100038500|||X||||
100038600|||X||||
100038800|||X||||
100039000|||X||||
100039100||||X|||
100039200|||X||||
100039300|||X||||
100039400|||X||||
100039500|||X||||
100039700|||X||||
100039800|||X||||
100040000|||X||||
100040100|||X|X|||
100040200||||X|||
100040300||||X|||
100040400|||X||||
100040500|||||||
100040600|||X||||
100040700||||X|||
100040800||||X|||
100040801||||X|||
100040802||||X|||
100040900|||||||
100041000|||X||||
100041100|||X||||
100041200||||X|||
100041201||||X|||
100041202||||X|||
100041300|||X||||
100041400||||X|||
100041401||||X|||
100041402||||X|||
100041600||||||X|
100041601||||||X|
100041700|||X||||
100041800|||X||||
100041900|||X||||
100042000|||X||||
100042100||X|X|X|||
100042200||||||X|X
100042201||||||X|X
100042300|||X||||
100042400|||X||||
100042500||||X|X||
100042600|||X||||
100042700|||X||||
100042800||||X|||
100042900|||X||||
100043000||||X|||
100043001||||X|||
100043200|||X||||
100043400||||X|X||
100043500|||||||
100043700|||||||
100043800||||X|||
100043900||||X|||
100044000|||||||
100044100|||X||||
100044200||X|X|X|||
100044300|||X||||
100044500|||X||||
100044600|||X||||
100044700||||X|||
100044800|||X||||
100044900|||X||||
100045000|||X||||
100045200|||X||||
100045300|||X||||
100045400|||X||||
100045500||||X|X||
100045600|||||||
100045700|||||||
100045800|||X||||
100045900|||X||||
100046000|||X||||
100046100||||X|||
100046200|||X||||
100046300|||X||||
100046500|||X||||
100046600|||X||||
100046800|||X||||
100046900|||X||||
100047000|||X||||
100047100|||X||||
100047200||||X|||
100047500|||||||
100047700|||||||
100047900|||X||||
100048000|||X||||
100048100|||X||||
100048300|||X||||
100048400|||X||||
100048500|||X||||
100048600|||X||||
100048800|||||||
100049000||||X|||
100049001||||X|||
100049100|||X||||
100049200|||X||||
100049300|||X||||
100049400|||X||||
100049500|||X||||
100049600|||X||||
100049700|||X||||
100049800|||X||||
100049900|||X||||
100050000|||X||||
100050200|||X||||
100050400|||X||||
100050500|||X||||
100050600|||X||||
100050700||||X|X||
100050800|||||||
100051100|||X||||
100051200|||X||||
100051400|||X||||
100051500|||X||||
100051600|||X||||
100051700|||X||||
100051800|||X||||
100051900|||||||
100052000|||X||||
100052100|||X||||
100052200|||X||||
100052300|||X||||
100052400|||X||||
100052500|||X||||
100052600|||X||||
100052700|||X||||
100052701|||X||||
100052800|||X||||
100053100|||X||||
100053200|||X||||
100053300|||X||||
100053500|||X||||
100053700|||X||||
100053800|||X||||
100053900|||X||||
100054000|||X||||
100054100|||X||||
100054400|||X||||
100054500|||X||||
100054600|||X||||
100054700|||X||||
100054800|||X||||
100054900|||X||||
100055000|||X||||
100055100|||X||||
100055200|||X||||
100055300|||X||||
100055400|||X||||
100055500|||X||||
100055700||||X|||
100055800|||X||||
100056000|||X||||
100056100|||||||
100056300|||X||||
100056800|||X||||
100056900|||X||||
100057000|||X||||
100057200|||X||||
100057400|||X||||
100057500|||X||||
100057600|||X||||
100057700|||X||||
100057800|||X||||
100057900|||X||||
100058000|||X||||
100058200|||X||||
100058400|||X||||
100058500|||X||||
100058600|||X||||
100058700|||X||||
100058800|||X||||
100058900|||X||||
100059000|||X||||
100059100|||X||||
100059200|||X||||
100059400|||X||||
100059600|||X||||
100059700|||X||||
100059800|||X||||
100059900|||X||||
100060200|||X||||
100060300|||||||
100060400||X|X|X|||
100060500|||||||
100060700||X|X|X|||
100061000||X|X||||
100061100||||X|||
100061200||X|X||||
100061300||||X|||
100061400||||||X|
100061600|||X||||
100061700|||X||||
100061800||||X|X||
100061900|||X||||
100062100|||X||||
100062200|||X||||
100062300|||X||||
100062500||||X|||
100062502||||X|||
100062504||||X|||
100062600|||X||||
100062700||||||X|
100062800||||X|X||
100062900|||X||||
100063000|||X||||
100063100||||X|||
100063200|||X||||
100063300|||X||||
100063400||||||X|
100063800|||X||||
100063900|||X||||
100064000||||X|X||
100064200||X|X|X|||
100064300|||X||||
100064400|||X||||
100064500||||X|||
100064600|||X||||
100064700|||X||||
100064800|||X||||
100064900||||X|||
100064901||||X|||
100065000|||X||||
100065100|||X||||
100065200||||X|||
100065201||||X|||
100065202||||X|||
100065400|||X||||
100065500|||X||||
100065600|||X||||
100065700|||X||||
100065800||||X|||
100066000||||X|||
100066001||||X|||
100066100|||X||||
100066200|||X||||
100066300|||X||||
100066400|||X||||
100066500|||X||||
100066800|||||||
100067000|||X||||
100067100|||X||||
100067200|||X||||
100067300||||X|||
100067400|||X||||
100067500|||X||||
100067600|||X||||
100067700|||X||||
100067800|||X||||
100067900|||X||||
100068000|||X||||
100068200||X|||||
100068201||X|||||
100068202||X|||||
100068300||X|||||
100068301||X|||||
100068302||X|||||
100068303||X|||||
100068304||X|||||
100068400||X|||||
100068401||X|||||
100068402||X|||||
100068403||X|||||
100068404||X|||||
100068405||X|||||
100068406||X|||||
100068500||X|||||
100068501||X|||||
100068502||X|||||
100068515||X|||||
100068600||X|||||
100068601||X|||||
100068602||X|||||
100068604||X|||||
100068606||X|||||
100068700||X|||||
100068701||X|||||
100068702||X|||||
100068706||X|||||
100068707||X|||||
100068800||X|||||
100068801||X|||||
100068806||X|||||
100068900||X|||||
100068901||X|||||
100068902||X|||||
100068903||X|||||
100068904||X|||||
100068905||X|||||
100068906||X|||||
100068907||X|||||
100069000||X|||||
100069002||X|||||
100069003||X|||||
100069004||X|||||
100069100||X|||||
100069101||X|||||
100069102||X|||||
100069103||X|||||
100069104||X|||||
100069105||X|||||
100069106||X|||||
100069107||X|||||
100069108||X|||||
100069109||X|||||
100069110||X|||||
100069200||X|||||
100069201||X|||||
100069202||X|||||
100069203||X|||||
100069204||X|||||
100069205||X|||||
100069206||X|||||
100069208||X|||||
100069209||X|||||
100069210||X|||||
100069300|||X||||
100069400|||X||||
100069500|||X||||
100069600|||X||||
100069700|||X||||
100069800|||||||
100069900|||||||
100070100|||||||
100070200|||||||
100070300|||||||
100070500|||||||
100070600|||X|X|||
100070700|||X||||
100070800|||||||
100070900|||||||
100071100|||||||
100071200|||||||
100071300|||||||
100071400|||||||
100072100||||||X|
100072200||X|X|X|||
100072300||X|||||
100072301||X|||||
100072302||X|||||
100072303||X|||||
100072400||X|||||
100072401||X|||||
100072402||X|||||
100072404||X|||||
100072405||X|||||
100072406||X|||||
100072408||X|||||
100072500||X|||||
100072501||X|||||
100072502||X|||||
100072503||X|||||
100072600||X|||||
100072601||X|||||
100072602||X|||||
100072603||X|||||
100072604||X|||||
100072605||X|||||
100072606||X|||||
100072607||X|||||
100072608||X|||||
100072700||X|||||
100072701||X|||||
100072702||X|||||
100072703||X|||||
100072704||X|||||
100072800||X|||||
100072801||X|||||
100072802||X|||||
100072803||X|||||
100072804||X|||||
100072805||X|||||
100072806||X|||||
100072807||X|||||
100072808||X|||||
100072809||X|||||
100072810||X|||||
100072811||X|||||
100072812||X|||||
100072900||X|||||
100072901||X|||||
100072902||X|||||
100072903||X|||||
100072904||X|||||
100072905||X|||||
100072906||X|||||
100072907||X|||||
100072908||X|||||
100072909||X|||||
100072910||X|||||
100072911||X|||||
100072912||X|||||
100072913||X|||||
100072914||X|||||
100072916||X|||||
100073000||||X|||
100073001||||X|||
100073002||||X|||
100073003||||X|||
100073004||||X|||
100073005||||X|||
100073006||||X|||
100073100||||||X|
100073101||||||X|
100073200||||X|||
100073300||||||X|
100073400||||X|||
100073401||||X|||
100073500||||||X|
100073600||||X|||
100073700|||X||||
100073900|||||||
100074000|||||||
100074100|||||||
100074200|||||||
100074300||||X|||
100074400||||||X|
100074402||||||X|
100074500|||X||||
100074800|||X||||
100075400|||||||
100075500|||||||
100075600|||||||
100075700|||||||
100075800|||||||
100075900|||||||
100076000|||||||
100076100|||||||
100076200|||||||
100076400|||||||
100076500|||||||
100076600|||||||
100076700||||||X|
100076900||X|X||||
100077000||X|X|X|||
100077100|||||||
100077200|||||||
100077300|||X||||
100077400|||X||||
100078700|||X||||
100078800||X|||||
100078801||X|||||
100078802||X|||||
100078803||X|||||
100078804||X|||||
100078805||X|||||
100078806||X|||||
100078900||X|||||
100078901||X|||||
100078902||X|||||
100078903||X|||||
100078904||X|||||
100078905||X|||||
100078906||X|||||
100078907||X|||||
100078908||X|||||
100078909||X|||||
100078910||X|||||
100078911||X|||||
100079000|||||||
100079100||X|X||||
100079200|||||||
100079300|||X||||
100079400||||X|||
100079401||||X|||
100079600||||X|||
100079700||||X|||
100079701||||X|||
100079800||||X|||
100079900||||X|||
100080200|||||||
100080300||X|X||||
100080400||X|X|X|||
100080500||X|X|X|||
100080600||X|X|X|||
100080700||X|||||
100080701||X|||||
100080702||X|||||
100080703||X|||||
100080704||X|||||
100080705||X|||||
100080706||X|||||
100080707||X|||||
100080708||X|||||
100080710||X|||||
100080800||X|||||
100080801||X|||||
100080802||X|||||
100080803||X|||||
100080804||X|||||
100080805||X|||||
100080806||X|||||
100080807||X|||||
100080808||X|||||
100080809||X|||||
