CUE Anexo|Ed. Común|Ed. Especial|Ed. Adultos|Ed. Artística|Ed. Hospitalaria Domiciliaria|Ed. Intercultural Bilingüe|Ed. Contexto de Encierro
060374300|X||||||
060374500|X||||||
060374600|X||||||
060374700|X||||||
060374800|X||||||
060374900|X||||||
060375000|X||||||
060375100|X||||||
060375200|X||||||
060375300|X||||||
060375400|X||||||
060375500|X||||||
060375600|X||||||
060375700||X|||||
060375800||X|||||
060375900|X||||||
060376000|||X||||
060376100|X||||||
060376200||X|||X||
060376300|X|||X|||
060376400|X||||||
060376500|X||||||
060376600|X||||||
060376700|X||||||
060376800|X||||||
060376900|X||||||
060377000|X||||||
060377100|X||||||
060377200|X||||||
060377300|X||||||
060377400|X||||||
060377500|X||||||
060377600|X||||||
060377700|||X||||
060377701|||X||||
060377702|||X||||
060377800|X||||||
060377900|X||||||
060378000|X||||||
060378100|X||||||
060378200|X||||||
060378300|X||||||
060378400|X||||||
060378500|||X||||
060378501|||X||||
060378600|X||||||
060378700|X||||||
060378800|X||||||
060379100|X||||||
060379200|X||||||
060379400|X||||||
060379500|X||||||
060379600|||||X||
060379800|X||||||
060379900|X||||||
060380000|X||||||
060380200|X||||||
060380300|X||||||
060380400|X||||||
060380500|X||||||
060380600|X||||||
060380700|||X||||
060380701|||X||||
060380702|||X||||
060380900|X||||||
060381000|X||||||
060381300|X||||||
060381400|X||||||
060381500|X||||||
060381600|X||||||
060381700|X||||||
060381800|X||X||||
060381900|X||||||
060382000|X||||||
060382100|X||||||
060382200|X||||||
060382500|X||||||
060382600|X||||||
060382700|X||||||
060382900|X||||||
060383000|X||||||
060383200|X||||||
060383300|X||||||
060383400|X||||||
060383500|X||||||
060383600||X|||||
060383700|X||||||
060383800|X||||||
060383900|X||||||
060384100|X||||||
060384200|X||||||
060384300|X||||||
060384400|X||||||
060384600|X||||||
060384700|X||||||
060384800|X||||||
060384900|X||||||
060385000|X||||||
060385100|X||||||
060385200|X||||||
060385300|X||||||
060385400|X||||||
060385500|X||||||
060385600|X||||||
060385700|X||||||
060385800|X||||||
060385900|X||||||
060386000|X||||||
060386100|X||||||
060386200|X||||||
060386300|X||||||
060386400|X||||||
060386500|X||||||
060386700|X||||||
060386800|X||||||
060386900|X||||||
060387100|X||||||
060387300|X||||||
060387400|X||||||
060387500|X||||||
060387600|X||||||
060387800|X||||||
060387900|X||||||
060388100|X||||||
060388101|X||||||
060388200|X||||||
060388400|X||||||
060388500|X||||||
060388600|X||||||
060388700|X||||||
060388800|X||||||
060388900|X||||||
060389000|X||||||
060389100|X||||||
060389300|X||||||
060389500|X||||||
060389600|X||||||
060389700|X||||||
060389800|X||||||
060389900|X||||||
060390000|X||||||
060390100|X||||||
060390200|X||||||
060390300|X||||||
060390400|X||||||
060390600|X||||||
060390800|X||||||
060390900|X||||||
060391000|X||||||
060391100|X||||||
060391200|X||||||
060391300|||X||||
060391301|||X||||
060391302|||X||||
060391600|X||||||
060391700|X||||||
060391800|X||||||
060392000|||X||||
060392100|X||||||
060392200|X||||||
060392400|X||||||
060392500|X||||||
060392600|X||||||
060392700|X||||||
060392800|X||||||
060392900|X||||||
060393100|X||||||
060393200|X||||||
060393300|X||||||
060393400|X||||||
060393500|X||||||
060393600|X||||||
060393700|X||||||
060393800|X||||||
060393900|X||||||
060394000|X||||||
060394100|X||||||
060394200|X||||||
060394300|X||||||
060394400|X||||||
060394500|X||||||
060394600|X||||||
060394700|X||||||
060394800|X||||||
060394900|X||||||
060395000|X||||||
060395100|X||||||
060395200|X||||||
060395300|X||||||
060395500|X||||||
060395600|||X||||
060395700|X||||||
060395800|X||||||
060395900|X||X||||
060395902|X||||||
060396000|X||||||
060396100|X||||||
060396300|X||||||
060396400|X||||||
060396500|||X||||
060396600|X||||||
060396800|X||||||
060396900|X||||||
060397300|X||||||
060397600|X||||||
060397700|X||||||
060397800|||X||||
060397801|||X||||
060397802|||X||||
060397900|X||||||
060398100|X||||||
060398200|X||||||
060398300|X||||||
060398400|X||||||
060398500|X||||||
060398600|X||||||
060398700||X|||||
060398800|X||||||
060398900|X||||||
060399000|X||||||
060399100|X||||||
060399300|X||||||
060399400|X||||||
060399500|X||||||
060399600|X||||||
060399800|||X||||
060399900|X||||||
060400000|X||||||
060400100|X||||||
060400200|||X||||
060400400|X||||||
060400500|X||||||
060400600|X||||||
060400900|X||||||
060401000|X||||||
060401100|X||||||
060401200|X||||||
060401400|X||||||
060401500|X||||||
060401600|X||||||
060401700|X||||||
060401800|X||||||
060401900|X||||||
060402000|X||||||
060402100|X||||||
060402300|X||||||
060402400|X||||||
060402500|X||||||
060402600|X||||||
060402800|X||||||
060402900|X||X||||
060403000|X||||||
060403100|X||||||
060403200|X||||||
060403300|X||||||
060403400|X||||||
060403500|X||||||
060403700||X|||||
060403800|X||||||
060403900|X||||||
060404000|X||||||
060404100|X||||||
060404200|X||||||
060404300|||X||||
060404400|X||||||
060404500|||X||||
060404600|X||||||
060404700|X||||||
060404800|X||X||||
060404900|X||||||
060405000|X||||||
060405100|X||||||
060405200|X||||||
060405300|X||||||
060405400|X||||||
060405500|X||||||
060405600|X||||||
060405800|||X||||
060406100|X||||||
060406200|X||||||
060406300||X|||||
060406400|X||||||
060406600|X||||||
060406700|X||||||
060406800|X||||||
060407000|X||||||
060407100|X||||||
060407200|X||||||
060407300|X||||||
060407400|X||||||
060407500|X||||||
060407600|X||||||
060407700|X||||||
060407800|X||||||
060407900|X||||||
060408000||X|||||
060408100|X||||||
060408400|X||||||
060408500|X||||||
060408600|X||||||
060408700|X||||||
060408800|X||||||
060408900|X||||||
060409000|X||||||
060409100|X||||||
060409300|X||||||
060409500|||X||||
060409600|X||||||
060409800|X||||||
060410000|X||||||
060410100|X||||||
060410200|X||||||
060410300|X||||||
060410500|X||||||
060410600|X||||||
060410800|X||||||
060410900|X||||||
060411000|X||||||
060411100|X||||||
060411200|X||||||
060411400|X||||||
060411500|X||||||
060411600|X||||||
060411700|X||||||
060411800|X||||||
060411900|X||||||
060412000|X||||||
060412100|X||||||
060412200|X||||||
060412300|X||||||
060412400|X||||||
060412500|X||||||
060412600|X||||||
060412700|X||||||
060412800|X||||||
060413000|X||||||
060413100|X||||||
060413200|X||||||
060413300|X||||||
060413400|X||||||
060413500|X||||||
060413600|X||||||
060413700|X||||||
060413800|X||X||||
060413801|X||||||
060413900|X||||||
060414000|X||||||
060414200|X||||||
060414300|X||||||
060414400|X||||||
060414500||X|||X||
060414600|X||||||
060414700|X||||||
060414800|X||||||
060414900|X||||||
060415000|X||||||
060415100|X||||||
060415200|X||||||
060415300|X||||||
060415500|||X||||
060415600|X||||||
060415700|X||||||
060415800|X||||||
060415900|X||||||
060416100|X||||||
060416200||X|||||
060416300|X||||||
060416400|X||||||
060416500|X||||||
060416600|X||||||
060416700|X||||||
060416800|X||||||
060417000|||X||||
060417100|X||||||
060417200|X||||||
060417300|X||||||
060417400|X||||||
060417500|X||||||
060417600|X||||||
060417700|X||||||
060417900|X||||||
060418000|X||||||
060418100|X||||||
060418200|X||||||
060418300|X||||||
060418400|X||||||
060418500|X||||||
060418600|X||||||
060418700|X||||||
060418800|X||||||
060418900|X||||||
060419000|X||||||
060419200|X||||||
060419500||X|||X||
060419600|X||||||
060419700|X||||||
060419800|X||||||
060419900|X||||||
060420000|X||||||
060420200|X||||||
060420300|X||||||
060420400|X||||||
060420500|X||||||
060420600|X||||||
060420700|X||||||
060420900|X||||||
060421000|X||||||
060421100|X||||||
060421300|X|||X|||
060421400|X||||||
060421600|X||||||
060421700|||X||||
060421800|X||||||
060421900|X||||||
060422000|X||||||
060422100|X||||||
060422200|X||||||
060422300|X||||||
060422400|X||||||
060422500|X||||||
060422700|X||||||
060422800|X||||||
060422900|X||||||
060423000|X||||||
060423100|X||||||
060423200|||X||||
060423400|X||||||
060423600|X||||||
060423800|||X||||
060424000|X||||||
060424100|X||X||||
060424200|X||||||
060424400|X||||||
060424500|X||||||
060424600|X||||||
060424700|X||||||
060424800|||X||||
060424801|||X||||
060424802|||X||||
060424900|X||||||
060425000|X||||||
060425100|X||||||
060425200|X||||||
060425300|X||||||
060425400|X||||||
060425500|X||||||
060425600|X||||||
060425700|X||||||
060425800|X||X||||
060425900|X||||||
060426000|X||||||
060426100|X||||||
060426200|X||||||
060426300|X||||||
060426400|X||||||
060426500|X||||||
060426600|X||||||
060426700|X||||||
060426900|X||||||
060427000|X||||||
060427100|X||||||
060427200|X||||||
060427300|X||||||
060427400|X||||||
060427500|X||||||
060427600|X||||||
060427700|X||||||
060427800|X||||||
060427900|X||||||
060428000|X||||||
060428100|X||||||
060428200|X||||||
060428300|X||||||
060428400|X||||||
060428500|X||||||
060428600|X||||||
060428700|X||||||
060428800|X||||||
060428900|||X||||X
060429000|||X||||X
060429100|||X||||
060429200|X||||||
060429300|||X||||
060429301|||X||||
060429302|||X||||
060429303|||X||||
060429400||X|||||
060429500|X||||||
060429600|X||||||
060429700|X||||||
060429800|X||||||
060430000|X||||||
060430100|X||||||
060430200|X||||||
060430300|X||||||
060430400|X||||||
060430500|||X||||
060430501|||X||||
060430502|||X||||
060430503|||X||||
060430600|X||||||
060430700|X||||||
060430800|X||||||
060430900|X||||||
060431000|X||||||
060431100||X|||||
060431400|X||||||
060431500|X||||||
060431600|X||||||
060431700|X||||||
060431800|X||||||
060431900|X||||||
060432000|X||||||
060432100|X||||||
060432200|X||||||
060432300|X||||||
060432400|X||||||
060432500|X||||||
060432600|X||||||
060432700|X||||||
060432800|X||||||
060432900|X||||||
060433000|X||||||
060433100||X|||||
060433200|||X||||
060433201|||X||||
060433202|||X||||
060433400||X|||||
060433500|X||||||
060433600|X||||||
060433700|X||||||
060433800|X||||||
060433900|X||||||
060434000|X||||||
060434100|X||||||
060434200|X||||||
060434300|X||||||
060434600|X||||||
060434700|X||||||
060434800|X||||||
060434900|X||||||
060435000|X||||||
060435100|X||||||
060435200|X||||||
060435300|||X||||
060435301|||X||||
060435400|X||||||
060435800|X||||||
060435900|||X||||
060436000|X||||||
060436100|X||||||
060436200|X||||||
060436300|X||||||
060436400|X||||||
060436500|X||||||
060436700|X||||||
060436800|X||||||
060437200|||X||||
060437201|||X||||
060437202|||X||||
060437300|X||||||
060437400|X||||||
060437500|X||||||
060437700|X||||||
060437800|X||||||
060437900|X||||||
060438000|X||||||
060438100|X||||||
060438200|X||||||
060438300|X||||||
060438400|X||||||
060438500|X||||||
060438600|X||||||
060438700|X||||||
060438800|X||||||
060438900|X||||||
060439000|X||||||
060439100|X||||||
060439600|X||||||
060439700|X||||||
060439800|X||||||
060440100|X||||||
060440200|X||||||
060440300|X||||||
060440400|X||||||
060440500|X||||||
060440600|X||||||
060440700|X||||||
060440800|X||||||
060440900|X||||||
060441000|X||||||
060441100|X||||||
060441200|X||||||
060441300||X|||||
060441400|X||||||
060441500|X||||||
060441600|X||||||
060441700|X||||||
060441800|X||||||
060441900|X||||||
060442000|X||||||
060442100|X||||||
060442200|X||||||
060442300|X||||||
060442400|X||||||
060442500|X||||||
060442600|X||||||
060442700|X||||||
060442800|X||||||
060442900|X||||||
060443000|X||||||
060443100|X||||||
060443200|X||||||
060443300|X||||||
060443500|X||||||
060443600|X||||||
060443700|||X||||
060443800|||X||||
060444000|X||||||
060444400|X||||||
060444600|X||||||
060444700|X||||||
060444900|X||||||
060445000|X||||||
060445100|X||||||
060445200|||X||||
060445400|X||||||
060445500|X||||||
060445700|X||||||
060445800|X||||||
060445900|X||||||
060446200|X||||||
060446400|X||||||
060446500|X||||||
060446600|X||||||
060446700|X||||||
060446800|X||||||
060446900|X||||||
060447000|X||||||
060447200|X||||||
060447400|X||||||
060447500|||X||||
060447600|X||||||
060447700|X||||||
060447800|X||||||
060448000|X||||||
060448100|X||||||
060448200|X||||||
060448300|X||||||
060448400|X||||||
060448500|X||||||
060448600|X||||||
060448700|X||||||
060448800|X||||||
060448900|X||||||
060449000|||X||||X
060449100|||X||||X
060449200|X||||||
060449300|X||||||
060449400|X||||||
060449600|X||||||
060449700|X||||||
060449800|X||||||
060449900|X||||||
060450000|X||||||
060450300|X||||||
060450400|X||||||
060450500|X||||||
060450600|X||||||
060450700|X||||||
060450800|X||||||
060450900|X||||||
060451000|X||||||
060451100|X||||||
060451200|X||||||
060451300|X||||||
060451400|X||||||
060451700|X||||||
060451800|X||||||
060451900|X||||||
060452000|X||||||
060452100|||X||||
060452200|X||||||
060452300|X||||||
060452400|X||||||
060452401|X||||||
060452500|X||||||
060452600|X||||||
060452700|X||||||
060452800|X||||||
060452900|X||||||
060453100|X||||||
060453300|X||||||
060453500|X||||||
060453600|X||||||
060453800|X||||||
060453900|X||||||
060454000|X||||||
060454100|X||||||
060454200|X||||||
060454300|X||||||
060454400|X||||||
060454500|X||||||
060454600|X||||||
060454700|X||||||
060454800|X||||||
060454900|X||||||
060455000|X||||||
060455200|X||||||
060455300|X||||||
060455500|X||||||
060455600|X||||||
060455700|X||||||
060455800|X||||||
060455900|||X||||
060455901|||X||||
060455902|||X||||
060455903|||X||||
060456000|||X||||
060456002|||X||||
060456003|||X||||
060456004|||X||||
060456200|X||||||
060456300|X||||||
060456400|X||||||
060456500|X|||X|||
060456600|X||||||
060456700|X||||||
060456800|X||||||
060456900|X||||||
060457100|X||||||
060457200|X||||||
060457300|X||||||
060457500|X||||||
060457700|X||||||
060457800||X|||X||
060457900|X||||||
060458000|X||||||
060458100|X||||||
060458200|||X||||
060458300|X||||||
060458400|X||||||
060458500|X||||||
060458600|X||||||
060458700|X||||||
060458800|X||||||
060458900|X||||||
060459500|X||||||
060459600|X||||||
060459700|X||||||
060459900|X|||||X|
060460000|X||||||
060460300|X||||||
060460400|X||||||
060460500|X|||X|||
060460600|X||||||
060460800|X||||||
060460900|X||||||
060461000|X||||||
060461100|X||||||
060461200|X||||||
060461300|X||||||
060461400|X||||||
060461500|X||||||
060461600|X||||||
060461700|X||||||
060461800|X||||||
060461900|X||||||
060462000|X||||||
060462100|X||||||
060462200|X||||||
060462300|X||||||
060462400|X||||||
060462500|X||||||
060462600|X||||||
060462700|X||||||
060462800|X||||||
060462900|X||||||
060463000|X||||||
060463200|X||||||
060463300|X||||||
060463400|X||||||
060463500|X||||||
060463600|X||||||
060463700|X||||||
060463900|X||||||
060464000|X||||||
060464100|X||||||
060464200||X|||||
060464300|X||||||
060464400|X||||||
060464500|X||||||
060464600|X||||||
060464700|X||||||
060464800|X||||||
060464900|X||||||
060465000|X||||||
060465100|X||||||
060465200|X||||||
060465400|||X||||
060465500|X||||||
060465700|X||||||
060465800|X||||||
060465900|X||||||
060466000|X||||||
060466200|X||||||
060466300|X||||||
060466400|X||||||
060466700|X||||||
060466800|X||||||
060466900|X||||||
060467000|||X||||
060467100|X||||||
060467200|||X||||
060467400|X||||||
060467700|X||||||
060467900|X||||||
060468000|X||||||
060468100|X||||||
060468200|X||||||
060468400|X||||||
060468600|X||||||
060468900|X||||||
060469000|X||||||
060469300|X||||||
060469400|X||||||
060469500|X||||||
060469600|X||||||
060469700|X||||||
060469800|X||||||
060470100|X||||||
060470200|X||||||
060470300|X||||||
060470500|X||||||
060470600|X||||||
060470700|X||||||
060470800|X||||||
060470900|X||||||
060471100|X||||||
060471200|X||||||
060471300|X||||||
060471400|X||||||
060471500|X||||||
060471600|X||||||
060471700|X||||||
060471800|X||||||
060471900|X||||||
060472000|X||||||
060472100|X||||||
060472200|X||||||
060472300|X||||||
060472400|X||||||
060472500|X||||||
060472600|X||||||
060472700|X||||||
060472900|X||||||
060473000|X||||||
060473100|X||||||
060473200|X||||||
060473500|X||||||
060473600|X||||||
060473700|X||||||
060473800||X|||||
060473900|X||||||
060474000|X||||||
060474100|X||||||
060474200|X||||||
060474300||X|||X||
060474400|X||||||
060474500|X||||||
060474600|X||||||
060474700|X||||||
060474800|X||||||
060474900|||X||||
060475000|X||||||
060475100|X||||||
060475300|X||||||
060475400|X||||||
060475800|X||||||
060475900|X||||||
060476000|||X||||
060476100|X||||||
060476200|X||||||
060476400|X||||||
060476500|X||||||
060476600|X||||||
060476700|X||||||
060476800||X|||||
060476900|X||||||
060477000|X||||||
060477200|X||||||
060477300|||X||||
060477400|X||||||
060477600|X||||||
060477700|X||||||
060477900|X||||||
060478000|X||||||
060478100|X||||||
060478300|X||||||
060478400|X||||||
060478500|X||||||
060478600|X||||||
060478700|X||||||
060478800|X||||||
060478900|X||||||
060479000|X||||||
060479100|X||||||
060479500|X||||||
060479600|X||||||
060479700|X||||||
060479800|X||||||
060480000|X||||||
060480100|X||||||
060480200|||X||||
060480201|||X||||
060480202|||X||||
060480300|X||||||
060480400|X||||||
060480500|X||||||
060480600|X||||||
060480601|X||||||
060480700|X||||||
060480800|X||||||
060480900|X||||||
060481000|X||||||
060481100|X||||||
060481200|X||||||
060481300|X||||||
060481400|X||||||
060481500|X||||||
060481600|X||||||
060481700|X||||||
060481800|X||||||
060482000|||X||||
060482100|||X||||
060482200|X||||||
060482400|X||||||
060482600|X||||||
060482700|X||||||
060482800|X||||||
060482900|X||||||
060483000|X||||||
060483200|X||||||
060483300|X||||||
060483400|X||||||
060483500|X||||||
060483600|X||||||
060483700|X||||||
060483900|X||||||
060484000|||||X||
060484100||X|||||
060484200|X||||||
060484300|X||||||
060484400|X||||||
060484500|X||||||
060484600||X|||||
060484900|X||||||
060485000|X||||||
060485100|X||||||
060485400|X||||||
060485500|X||||||
060485600|X||||||
060485700|X||||||
060485800|X||||||
060486000|X||||||
060486100|X||||||
060486200|X||||||
060486300|X||||||
060486400|X||||||
060486500|X||||||
060486600|X||||||
060486700|X||||||
060486800|X||X||||
060486900|X||||||
060487000||X|||||
060487100|X||||||
060487200|X||||||
060487300|X||||||
060487400|X||||||
060487500|X||||||
060487600||X|||||
060487800|X||||||
060487900|X||||||
060487901|X||||||
060488000|||X||||
060488100|X||||||
060488200|X||||||
060488300||X|||||
060488400|X||||||
060488500|X||||||
060488600|X||||||
060488700|X||||||
060488800|X||||||
060488900|X||||||
060489100|X||||||
060489200|X||||||
060489300|X||||||
060489400|X||||||
060489500|X||||||
060489800|X||||||
060489900|||X||||
060490000|X||||||
060490100|X||||||
060490200|X||||||
060490400|X||||||
060490500|X||||||
060490600|X||||||
060490700|X||||||
060490800|X||||||
060490900|X||||||
060491000||X|||||
060491100|X||||||
060491200|X||||||
060491400|||X||||
060491500|X||||||
060491700|X||||||
060491800|X||||||
060492000|X||||||
060492100|X||||||
060492200|X||||||
060492300|X||||||
060492400|X||||||
060492500|||X||||
060492501|||X||||
060492502|||X||||
060492503|||X||||
060492600|X||||||
060492700|X||||||
060492800|X||||||
060492900|X||||||
060493000|X||||||
060493100|X||||||
060493200|X||||||
060493300|X||||||
060493400|||X||||
060493401|||X||||
060493402|||X||||
060493403|||X||||
060493500|X||||||
060493600|X||||||
060493700|X||||||
060493800|X||||||
060493900|X||||||
060494000|X||||||
060494100|X||||||
060494200|X||||||
060494300|X||||||
060494400|X||||||
060494500|X||||||
060494800|X||||||
060494801|X||||||
060494900|||X||||
060494902|||X||||
060495000|X||||||
060495100|X||||||
060495200|X||||||
060495300|X||||||
060495400|X||||||
060495600|X||||||
060495800|X||||||
060495900|X||||||
060496000|||X||||
060496200|X||||||
060496400|X||||||
060496500|X||||||
060496600|X||||||
060496700|X||||||
060496800|X||||||
060496900|X||||||
060497000||X|||||
060497100|||X||||
060497200|X||||||
060497300|X||||||
060497600|X||||||
060497700|X||||||
060497800|X||||||
060497900|X||||||
060498000|X||||||
060498100|X||||||
060498200|||X||||
060498400|X||||||
060498700|X||||||
060498800|X||||||
060498900|X||||||
060499000|X||||||
060499100|X||||||
060499200|X||||||
060499300|X||||||
060499500|||X||||
060499501|||X||||
060499600|X||||||
060499700|X||||||
060499800|X||||||
060499900|X||||||
060500100|X||||||
060500300|X||||||
060500400|X||||||
060500500|X||||||
060500700|X||||||
060500800|X||||||
060500900|X||||||
060501000|X||||||
060501200|X||||||
060501300|X||||||
060501400|X||||||
060501500|X||||||
060501700|X||||||
060501900|X||||||
060502000|X||||||
060502300|X||||||
060502500|X||||||
060502800|X||||||
060502900|X||||||
060503000|X||||||
060503100|X||||||
060503200|X||||||
060503300|X||||||
060503400|X||||||
060503500|X||||||
060503600|X||||||
060503700|X||||||
060503800|X||||||
060503900|X||||||
060504000|X||||||
060504100|X||||||
060504300|X||||||
060504400|X||||||
060504500|X||X||||
060504700|||X||||
060504900||X|||||
060504901||X|||||
060505000|X||||||
060505100|X||||||
060505200|X||||||
060505300|X||||||
060505400|X||X||||
060505600|X||||||
060505700|X||||||
060505800|X||||||
060506000|X||||||
060506200|X||X||||
060506300|X||||||
060506400|X||||||
060506500|||X||||
060506600|X||||||
060506700|X||||||
060506800|X||||||
060506900|X||||||
060507100|X||||||
060507300|X||||||
060507400|X||||||
060507401|X||||||
060507500|X||||||
060507700|X||||||
060508000|X||||||
060508100|X||||||
060508200|X||||||
060508300||X|||||
060508400|X||||||
060508600|X||||||
060508700|X||||||
060508800|X||||||
060508900|||X||||
060509000|X||||||
060509100||X|||||
060509200|X||||||
060509300|X||||||
060509400||X|||||
060509500|X||||||
060509700|X||||||
060509800|X||||||
060509900|X||||||
060510000|X||||||
060510100|||X||||
060510101|||X||||
060510102|||X||||
060510103|||X||||
060510300|X||||||
060510400|X||||||
060510500|X||||||
060510600|X||||||
060510700|X||||||
060510800|X||||||
060511000|X||||||
060511200|X||||||
060511300|X||||||
060511400|X||||||
060511500|X||||||
060511600|X||||||
060511700|X||||||
060511800|X||||||
060511900|X||||||
060512000|X||||||
060512200|X||||||
060512400|X||||||
060512500|X||||||
060512600||X|||||
060512700|X||||||
060512800|X||||||
060513000|||X||||
060513002|||X||||
060513003|||X||||
060513004|||X||||
060513100|X||||||
060513200|X||||||
060513300|X||||||
060513400|X||||||
060513600|X||||||
060513700|X||||||
060513800|X||||||
060513900|X||||||
060514100|X||||||
060514200|X||||||
060514300|X||||||
060514400|||X||||
060514500|X||||||
060514600|X||||||
060514700|X||||||
060514800|X||X||||
060514900|X||||||
060515000|X||||||
060515100|X||||||
060515200|X||||||
060515300|X||||||
060515400|X||||||
060515500||X|||||
060515600|X||||||
060515700|X||||||
060515800|X||||||
060515900|X||||||
060516000|X||||||
060516100|X||||||
060516200|X||||||
060516300||X|||X||
060517200|X||||||
060517300|X||||||
060517400|X||||||
060517500|X||||||
060517600|X||||||
060517800|X||||||
060517900|X||||||
060518000|X||||||
060518100|X||||||
060518200|X||||||
060518300|X||||||
060518400|X||||||
060518600|X||||||
060518700|X||||||
060518800|X||||||
060518802|X||||||
060519000|X||||||
060519100|X||X||||
060519200|X||||||
060519300|X||||||
060519400|X||||||
060519600|X||||||
060519700|X||||||
060519800|X||||||
060519900|X||||||
060520000|X||||||
060520300|X||||||
060520400|X||||||
060520600|X||||||
060520700||X|||||
060520800|X||||||
060520900|X||||||
060521000|X||||||
060521100|X||||||
060521200|X||||||
060521300|||X||||
060521400|||X||||
060521401|||X||||
060521402|||X||||
060521403|||X||||
060521500|X||||||
060521600|X||||||
060521700|X||||||
060521800|X||X||||
060521900|X||||||
060522000|X||||||
060522100|X||||||
060522200|X||||||
060522300|X||||||
060522400|X||X||||
060522500|X||||||
060522600|X||||||
060522700|X||||||
060522800|X||||||
060522900|X||||||
060523000|X||||||
060523100|X||||||
060523200|X||||||
060523300|X||||||
060523400|X||||||
060523500|X||||||
060523600|X||||||
060523700|X||||||
060523800|X||||||
060523900|X||||||
060524000|X||||||
060524100|X||||||
060524400|X||||||
060524600|X||||||
060524700|X||||||
060524800|X||||||
060525100|X||||||
060525200|X||||||
060525400|X||||||
060525500|X||||||
060525600|X||||||
060525700|X||||||
060525800|X||||||
060525900|X||||||
060526100|||X||||
060526200|X||||||
060526300|X||||||
060526400|X||||||
060526700|X||||||
060526900|X||||||
060527000|X||||||
060527100|X||||||
060527200|X||||||
060527400|X||||||
060527500|X||||||
060527600|X||||||
060527700|X||||||
060527800|X||||||
060527900|X||||||
060528000|X||||||
060528200|X||||||
060528300|X||||||
060528400|X||||||
060528500|X||||||
060528600|X||||||
060528700|X||||||
060528800|X||||||
060528900|||X||||
060529000|X||||||
060529100|X||||||
060529200|X||||||
060529300|X||||||
060529400|X||||||
060529500|X||||||
060529600|X||||||
060529700|X||||||
060529800|X||||||
060529900|X||||||
060530000|X||||||
060530200|X||||||
060530300|X||||||
060530600|X||||||
060530900|X||||||
060531000|X||||||
060531100|X||||||
060531200|X||||||
060531300|X||||||
060531400|X||||||
060531700|X||||||
060531800|X||||||
060531900||X|||||
060532000|X||||||
060532100|X||||||
060532200|X||||||
060532300|X||||||
060532400|X||||||
060532500|X||||||
060532600|X||||||
060532800|X||||||
060532900|X||||||
060533000|X||||||
060533100|X||||||
060533200|X||||||
060533400|X||||||
060533500|X||||||
060533600|X||||||
060533700|X||||||
060533800|X||||||
060533900|X||||||
060534000|X||||||
060534200|X||||||
060534300|X||||||
060534400|X||||||
060534500|X||||||
060534600|X||||||
060534700|X||||||
060534800|X||||||
060534900|X||||||
060535000|X||||||
060535100|X||||||
060535200|X||||||
060535300|X||||||
060535400|X||||||
060535500|X||||||
060535600|X||||||
060535700|X||||||
060535800|X||||||
060535900|X||||||
060536000|X||||||
060536100|X||||||
060536300|X||||||
060536400|X||||||
060536500|X||||||
060536600|X||||||
060536700|X||||||
060536800|X||||||
060537000|X||||||
060537100|X||||||
060537200|X||||||
060537300|X||||||
060537400|X||||||
060537500|X||||||
060537600|X||||||
060537700|X||||||
060537800|X||||||
060537900|X||||||
060538100|X||||||
060538200|X||X||||
060538300|X||||||
060538400|X||||||
060538500|X||||||
060538600|X||||||
060538700|X||||||
060538900|X||||||
060539000|X||||||
060539100|X||||||
060539300|X||||||
060539400|X||||||
060539500|||X||||
060539600|X||||||
060539700|X||||||
060539800|X||||||
060539900|X||||||
060540000|X||||||
060540100|X||||||
060540200|X||||||
060540300|X||||||
060540400||X|||X||
060540500|||X||||
060540600|X||||||
060540700|X||||||
060540800|X||||||
060540900|X||||||
060541000|X||||||
060541100|X||||||
060541300|X||||||
060541400|X||||||
060541500||X|||||
060541600|X||||||
060541700|X||||||
060541800|X||||||
060541900|X||||||
060542000|||X||||
060542200|X||||||
060542300|X||||||
060542400|X||||||
060542500|X||||||
060542600|X||||||
060542700|X||||||
060542800|X||||||
060542900|X||||||
060543000|X||||||
060543300|X||||||
060543500|X||||||
060543800|X||||||
060543900|||X||||
060543901|||X||||
060543902|||X||||
060543903|||X||||
060544000|||X||||
060544001|||X||||
060544002|||X||||
060544003|||X||||
060544200|X||||||
060544300|X||||||
060544400|X||||||
060544500|X||||||
060544600|X||||||
060544700|X||||||
060544800|X||||||
060544900|X||||||
060545000|||X||||
060545200|X||||||
060545300|X||||||
060545500|X||||||
060545800|X||||||
060545900||X|||X||
060546000|X||||||
060546100|X||||||
060546200|X||||||
060546300|X||||||
060546400|X||||||
060546500|X||||||
060546600|X||||||
060546700|X||||||
060546800|X||||||
060547100|X||||||
060547200|X||||||
060547300|X||||||
060547400|X||||||
060547500|X||||||
060547600|X||||||
060547601|X||||||
060547700|X||||||
060547701|X||||||
060547900|X||||||
060548100|X||||||
060548300|X||||||
060548500||X|||||
060548800|X||||||
060549000|X||||||
060549100|X||||||
060549200|X||||||
060549300|X||||||
060549600|X||||||
060549700|X||||||
060549800|X||||||
060549900|X||||||
060550000|X||||||
060550100|X||||||
060550200|X||||||
060550300|X||||||
060550400|X||||||
060550500|X||||||
060550600|X||||||
060550700|||X||||
060550701|||X||||
060550800|X||||||
060550900|X||||||
060551000|||X||||
060551001|||X||||
060551002|||X||||
060551100|X||||||
060551200|X||||||
060551300||X|||||
060551400|X||||||
060551500|X||||||
060551600|X||||||
060551700|X||||||
060551800|X||||||
060551900|X||||||
060552000|X||||||
